"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","model_type","seed","accuracy","best_epoch","best_val_loss","epoch","loss","lr","val_accuracy","val_loss","wrong_class"
"inc6-2","crashed","-","hudwahab","","2023-02-24T05:26:49.000Z","841","","128","inc6","2","0.9979199767112732","21","0.0017899618251249194","21","0.008466046303510666","0.0003000000142492354","0.9995999932289124","0.0017899618251249194",""
"inc6-1","finished","-","hudwahab","","2023-02-24T04:45:05.000Z","2503","","128","inc6","1","0.9999200105667114","47","0.0020148269832134247","64","0.00023115793010219932","3.000000106112566e-7","0.9998000264167786","0.002682474674656987","1"
"inc6-0","finished","-","hudwahab","","2023-02-24T04:13:23.000Z","1901","","128","inc6","0","0.9998000264167786","24","0.0006476531270891428","49","0.0005447051953524351","3.000000106112566e-7","0.9995999932289124","0.000868731236550957","0"
"inc3-4","finished","-","hudwahab","","2023-02-24T03:46:44.000Z","1597","","128","inc3","4","0.9999600052833556","40","0.001475215540267527","65","0.00013308403140399605","0.000003000000106112566","0.9986000061035156","0.006750803906470537","2"
"inc3-3","finished","-","hudwahab","","2023-02-24T03:25:05.000Z","1297","","128","inc3","3","1","29","0.0009587618988007308","54","0.0002279711188748479","3.000000106112566e-7","0.9994000196456908","0.0014980377163738012","2"
"inc3-2","finished","-","hudwahab","","2023-02-24T03:02:27.000Z","1357","","128","inc3","2","0.9999200105667114","30","0.0037883021868765354","55","0.0001432478311471641","0.000003000000106112566","0.9991999864578248","0.004886981565505266","6"
"inc3-1","finished","-","hudwahab","","2023-02-24T02:41:48.000Z","1237","","128","inc3","1","0.9999200105667114","26","0.0024612953420728445","51","0.00016325031174346805","0.000003000000106112566","0.9995999932289124","0.003372592618688941","4"
"inc3-0","finished","-","hudwahab","","2023-02-24T02:17:10.000Z","1477","","128","inc3","0","0.9999200105667114","36","0.0013779278378933668","61","0.00035007792757824063","3.000000106112566e-7","0.9998000264167786","0.0018249893328174949","0"
"cnn_bn-4","finished","-","hudwahab","","2023-02-24T02:06:33.000Z","635","","128","cnn_bn","4","0.9996799826622008","31","0.01778416521847248","56","0.0010802386095747352","3.000000106112566e-7","0.9968000054359436","0.022630684077739716","14"
"cnn_bn-3","finished","-","hudwahab","","2023-02-24T01:52:57.000Z","815","","128","cnn_bn","3","0.9995200037956238","50","0.013393665663897991","75","0.001549036242067814","3.000000248221113e-8","0.9977999925613404","0.01391899585723877","8"
"cnn_bn-2","finished","-","hudwahab","","2023-02-24T01:42:20.000Z","635","","128","cnn_bn","2","0.9996799826622008","44","0.02287982776761055","60","0.0011967066675424576","3.000000106112566e-7","0.9973999857902528","0.023249739781022072","14"
"cnn_bn-1","finished","-","hudwahab","","2023-02-24T01:28:44.000Z","814","","128","cnn_bn","1","0.9994000196456908","52","0.01789456233382225","76","0.001389063778333366","3.000000248221113e-8","0.9977999925613404","0.018101219087839127","11"
"cnn_bn-0","finished","-","hudwahab","","2023-02-24T01:16:07.000Z","756","","128","cnn_bn","0","0.9995999932289124","45","0.015735849738121033","70","0.0008702415507286787","3.000000248221113e-8","0.9980000257492064","0.016157466918230057","10"
"resnet-4","finished","-","hudwahab","","2023-02-23T23:57:18.000Z","4727","","128","resnet","4","0.9999600052833556","35","0.003752685617655516","49","0.00018243541126139465","3.000000106112566e-7","0.9991999864578248","0.0043671210296452045","1"
"resnet-3","finished","-","hudwahab","","2023-02-23T22:05:29.000Z","6707","","128","resnet","3","1","45","0.001661860034801066","70","0.00003310863394290209","3.000000106112566e-7","0.9991999864578248","0.0027813599444925785","1"
"resnet-2","finished","-","hudwahab","","2023-02-23T20:37:38.000Z","5269","","128","resnet","2","0.9999600052833556","30","0.001560386037454009","55","0.0001321878662565723","3.000000106112566e-7","0.9994000196456908","0.0022765719331800938","1"
"resnet-1","finished","-","hudwahab","","2023-02-23T17:41:02.000Z","10594","","128","resnet","1","0.9999600052833556","25","0.0033290924038738012","50","0.00013791988021694124","3.000000106112566e-7","0.9990000128746032","0.004046365153044462","1"
"resnet-3","crashed","-","hudwahab","","2023-02-23T04:43:20.000Z","361","","128","resnet","3","0.9917600154876708","0","9.79825496673584","2","0.029145119711756703","0.0003000000142492354","0.005200000014156103","29.33935546875",""
"resnet-2","finished","-","hudwahab","","2023-02-23T03:15:31.000Z","5267","","128","resnet","2","0.9999600052833556","30","0.001560386037454009","55","0.0001321878662565723","3.000000106112566e-7","0.9994000196456908","0.0022765719331800938","1"
"resnet-1","finished","-","hudwahab","","2023-02-23T01:54:43.000Z","4847","","128","resnet","1","0.9999600052833556","25","0.0033290924038738012","50","0.00013791988021694124","3.000000106112566e-7","0.9990000128746032","0.004046365153044462","1"
"resnet-0","finished","-","hudwahab","","2023-02-23T00:18:56.000Z","5746","","128","resnet","0","1","36","0.004263799171894789","60","0.00006225272227311507","3.000000106112566e-7","0.9986000061035156","0.005451108328998089","1"
"vgg-4","finished","-","hudwahab","","2023-02-23T00:07:22.000Z","692","","128","vgg","4","0.9993600249290466","66","0.004885729402303696","91","0.0018079886212944984","3.000000106112566e-7","0.9976000189781188","0.0058820187114179134","7"
"vgg-3","finished","-","hudwahab","","2023-02-22T23:52:49.000Z","871","","128","vgg","3","0.999239981174469","110","0.003961555659770966","112","0.0018351278267800808","3.000000248221113e-8","0.9983999729156494","0.003963066264986992","6"
"vgg-2","finished","-","hudwahab","","2023-02-22T23:41:14.000Z","693","","128","vgg","2","0.999239981174469","71","0.005726012401282787","90","0.001965376548469066","3.000000248221113e-8","0.9968000054359436","0.00575104309245944","9"
"vgg-1","finished","-","hudwahab","","2023-02-22T23:30:41.000Z","631","","128","vgg","1","0.9994400143623352","54","0.006335972808301449","79","0.0015145287616178391","3.000000106112566e-7","0.996399998664856","0.007467667572200298","10"
"vgg-0","finished","-","hudwahab","","2023-02-22T23:19:07.000Z","692","","128","vgg","0","0.9993199706077576","62","0.0056207869201898575","87","0.0017869409639388325","3.000000106112566e-7","0.9972000122070312","0.00644926680251956","13"
"cnn6-4","finished","-","hudwahab","","2023-02-22T22:29:32.000Z","2974","","128","cnn6","4","0.9981200098991394","69","0.0025133145973086357","94","0.004651209339499474","0.000003000000106112566","0.9990000128746032","0.003719595260918141","2"
"cnn6-3","finished","-","hudwahab","","2023-02-22T21:40:57.000Z","2913","","128","cnn6","3","0.9973999857902528","66","0.004077662713825703","91","0.007841769605875015","3.000000106112566e-7","0.9990000128746032","0.004397055599838495","2"
"cnn6-2","finished","-","hudwahab","","2023-02-22T20:40:20.000Z","3635","","128","cnn6","2","0.9987999796867372","90","0.002417134353891015","115","0.0034785184543579817","0.000003000000106112566","0.9991999864578248","0.003906812518835068","3"
"cnn6-1","finished","-","hudwahab","","2023-02-22T19:40:46.000Z","3572","","128","cnn6","1","0.9965999722480774","96","0.002919297432526946","112","0.00905182957649231","3.000000106112566e-7","0.9986000061035156","0.003173771779984236","2"
"cnn6-0","finished","-","hudwahab","","2023-02-22T18:46:10.000Z","3274","","128","cnn6","0","0.9982799887657166","78","0.0024425056762993336","103","0.005473654251545668","3.000000106112566e-7","0.9987999796867372","0.0034470013342797756","2"
"cnn3-4","finished","-","hudwahab","","2023-02-22T18:33:33.000Z","755","","128","cnn3","4","0.999559998512268","56","0.010891019366681576","63","0.0014157212572172284","3.000000106112566e-7","0.9962000250816344","0.010967212729156016","21"
"cnn3-3","finished","-","hudwahab","","2023-02-22T18:19:58.000Z","814","","128","cnn3","3","0.9999600052833556","43","0.00542839989066124","68","0.00037812290247529745","3.000000106112566e-7","0.9986000061035156","0.005583754740655422","5"
"cnn3-2","finished","-","hudwahab","","2023-02-22T18:04:25.000Z","931","","128","cnn3","2","0.9994000196456908","52","0.013061300851404669","76","0.0015374639770016074","3.000000106112566e-7","0.996399998664856","0.016048841178417206","15"
"cnn3-1","finished","-","hudwahab","","2023-02-22T17:47:51.000Z","992","","128","cnn3","1","0.9999200105667114","61","0.00723625160753727","86","0.0002820129448082298","3.000000106112566e-7","0.9973999857902528","0.008750798180699348","9"
"cnn3-0","finished","-","hudwahab","","2023-02-22T17:33:18.000Z","871","","128","cnn3","0","0.9998000264167786","50","0.009560741484165192","75","0.0005011852481402457","3.000000106112566e-7","0.9972000122070312","0.01013103872537613","9"
"cnn2-4","finished","-","hudwahab","","2023-02-22T17:23:42.000Z","574","","128","cnn2","4","0.9988399744033812","47","0.013189929537475107","72","0.002471976215019822","3.000000106112566e-7","0.9954000115394592","0.014424608089029787","9"
"cnn2-3","finished","-","hudwahab","","2023-02-22T17:16:07.000Z","453","","128","cnn2","3","0.9986000061035156","34","0.012496399693191051","59","0.0037686361465603113","3.000000106112566e-7","0.9947999715805054","0.013865931890904903","11"
"cnn2-2","finished","-","hudwahab","","2023-02-22T17:05:34.000Z","631","","128","cnn2","2","0.9989200234413148","54","0.01290125586092472","79","0.00309774954803288","3.000000248221113e-8","0.995199978351593","0.01368036214262247","9"
"cnn2-1","finished","-","hudwahab","","2023-02-22T16:49:28.000Z","964","","128","cnn2","1","0.9988399744033812","37","0.011512462049722672","62","0.0035688281059265137","3.000000106112566e-7","0.9950000047683716","0.01352862734347582","9"